sessionId,label,timestamp,accX,accY,accZ,rotX,rotY,rotZ
session_20260414_152212_047,uppercut,23438.4673,-0.016098,0.027405,0.021608,-0.017121,-0.009178,0.037645
session_20260414_152212_047,uppercut,23438.4871,-0.006469,0.057251,0.019862,0.003943,-0.032300,0.058524
session_20260414_152212_047,uppercut,23438.5070,-0.024158,0.045026,0.009592,-0.008062,-0.028746,0.052599
session_20260414_152212_047,uppercut,23438.5269,-0.024889,0.034230,0.016284,-0.046258,-0.033687,0.047798
session_20260414_152212_047,uppercut,23438.5468,-0.021155,0.028524,0.003849,-0.030917,-0.030021,0.034813
session_20260414_152212_047,uppercut,23438.5667,-0.022540,0.035333,0.005484,0.032605,-0.031746,0.021258
session_20260414_152212_047,uppercut,23438.5866,-0.020477,0.034666,0.011688,0.049957,-0.035982,0.011469
session_20260414_152212_047,uppercut,23438.6065,-0.019943,0.016663,0.023418,0.023026,-0.033387,-0.010060
session_20260414_152212_047,uppercut,23438.6264,-0.017972,0.016190,0.019899,-0.030395,-0.022643,-0.010128
session_20260414_152212_047,uppercut,23438.6463,-0.016026,0.016804,0.021005,-0.013011,-0.018873,-0.034881
session_20260414_152212_047,uppercut,23438.6662,-0.010941,0.023522,0.023955,0.031698,-0.026749,-0.035047
session_20260414_152212_047,uppercut,23438.6861,-0.013501,0.033013,0.024749,0.032171,-0.019225,-0.025249
session_20260414_152212_047,uppercut,23438.7060,-0.009656,0.040377,0.023060,-0.007400,-0.013672,-0.011325
session_20260414_152212_047,uppercut,23438.7259,-0.008092,0.026585,0.031778,-0.038609,-0.009206,-0.009600
session_20260414_152212_047,uppercut,23438.7457,-0.008562,0.024614,0.028560,-0.025374,-0.006821,-0.008606
session_20260414_152212_047,uppercut,23438.7656,-0.004434,0.018247,0.020158,-0.003423,-0.008137,-0.014042
session_20260414_152212_047,uppercut,23438.7855,0.000493,0.010947,0.023153,0.003372,-0.024452,-0.020589
session_20260414_152219_048,uppercut,23443.3509,0.000014,0.045621,0.023224,0.173776,0.026500,0.143367
session_20260414_152219_048,uppercut,23443.3708,-0.008332,0.036518,0.049589,0.071700,0.032532,0.151507
session_20260414_152219_048,uppercut,23443.3907,-0.019867,0.026012,0.049917,0.027068,0.034087,0.123875
